,DCODE,EV_COUNT,MPS_COUNT,BLDG_COUNT,MA_HH,EDU_PERCENT,T_POP,T_WP
128,K10,0.0,0.0,6.0,600.0,0.5801985370950888,7.656,4.077
129,L10,0.0,21.0,61.0,295.5333333333333,0.3690517067579957,13.435,6.861
130,M10,0.0,0.0,0.0,302.05,0.3373189286241247,11.842,5.942
131,N10,0.0,0.0,4.0,198.86666666666667,0.19521484036654488,7.066,2.981
132,O10,0.0,0.0,39.0,235.4,0.21663689004156936,13.847,6.84
133,P10,1.0,98.0,171.0,257.1166666666667,0.2605919429018904,73.27,38.11
134,Q10,2.0,388.0,428.0,236.83333333333331,0.27152637057837,69.459,34.967
135,R10,0.0,0.0,155.0,319.82,0.28418437485915754,26.683,13.522
136,S10,0.0,0.0,46.0,336.4,0.29271972789685463,20.864,10.889
137,T10,0.0,0.0,0.0,290.0,0.2338227297444263,1.839,0.883
138,F11,0.0,0.0,0.0,203.3,0.3041970169961845,2.883,1.057
139,G11,0.0,0.0,0.0,203.3,0.3041970169961845,2.883,1.057
140,H11,0.0,0.0,0.0,391.9,0.427688186555781,10.327,5.469
141,J11,0.0,0.0,111.0,600.0,0.5801985370950888,7.656,4.077
142,K11,0.0,0.0,243.0,496.66666666666663,0.4711908789321389,22.668,12.424
143,L11,0.0,2.0,322.0,413.05555555555554,0.3991264819106979,52.498,30.179
144,M11,0.0,0.0,6.0,292.72,0.3264876418495451,19.955,10.758
145,N11,0.0,0.0,1.0,196.175,0.23046070717237338,8.063,3.445
146,O11,0.0,0.0,136.0,215.55,0.22812354979378915,10.436,4.475
147,P11,0.0,0.0,278.0,252.23333333333332,0.2473560857142637,15.892,7.806
148,Q11,3.0,0.0,317.0,207.24444444444444,0.2531898188337399,19.152,8.971
149,R11,0.0,0.0,354.0,294.1,0.2728062070144013,26.978,13.37
150,S11,0.0,0.0,123.0,362.3,0.28094181749695,31.254,15.485
151,T11,0.0,0.0,0.0,243.75,0.23143320666678222,3.533,1.57
152,U11,0.0,0.0,1.0,197.5,0.22904368358913813,1.694,0.687
153,H12,0.0,0.0,1.0,600.0,0.5801985370950888,7.656,4.077
154,K12,0.0,0.0,9.0,381.6333333333334,0.3352940446218067,14.352,7.622
155,L12,0.0,126.0,57.0,281.85,0.28592822226315606,15.798,8.427
156,M12,0.0,0.0,7.0,263.3333333333333,0.2986179813032936,12.497,6.883
157,N12,0.0,0.0,1.0,190.73333333333332,0.2661629017784567,6.62,2.716
158,O12,0.0,0.0,391.0,282.6166666666667,0.30706618997051055,13.781,6.662
159,P12,0.0,0.0,462.0,288.1153846153846,0.2785760154529956,25.721,12.707
160,Q12,0.0,0.0,4.0,241.5,0.23978484411449497,10.145,4.885
161,R12,0.0,0.0,32.0,200.875,0.2146013735890229,8.276,3.626
162,S12,0.0,0.0,86.0,199.0,0.22651254277448984,8.726,3.918
163,T12,0.0,22.0,89.0,230.25,0.2478578600589889,8.374,4.093
164,U12,0.0,0.0,2.0,177.5,0.19809092204088677,5.56,2.509
165,V12,0.0,0.0,0.0,155.0,0.14990942028985507,2.208,0.982
166,D13,0.0,0.0,11.0,218.0,0.3091647331786543,1.724,0.932
167,E13,0.0,0.0,0.0,235.0,0.3451581975071908,1.043,0.524
168,J13,0.0,0.0,51.0,409.5,0.3477943207232328,21.281,10.926
169,K13,0.0,0.0,115.0,295.6222222222222,0.2732691945094778,70.214,35.281
170,L13,1.0,0.0,346.0,367.1,0.33391944013287317,127.832,68.796
171,M13,1.0,6.0,116.0,366.8285714285714,0.3627805295129152,89.013,46.637
172,N13,0.0,19.0,5.0,274.5,0.31514078241558324,28.102,15.557
173,O13,0.0,0.0,12.0,189.525,0.2687898315405721,6.19,2.808
174,P13,0.0,0.0,266.0,216.46,0.2308979631528969,16.66,7.53
175,Q13,0.0,0.0,115.0,224.75,0.21878660459880786,10.51,4.767
176,R13,0.0,0.0,25.0,205.4333333333333,0.212853322371187,11.701,5.157
177,S13,0.0,0.0,225.0,223.1,0.2321955725388111,17.45,8.277
178,T13,0.0,9.0,69.0,220.0888888888889,0.22736596793648062,20.279,9.569
179,U13,0.0,0.0,20.0,183.9,0.18658626402173542,9.349,3.8
180,V13,0.0,0.0,0.0,155.0,0.14990942028985507,2.208,0.982
181,B14,0.0,0.0,0.0,252.0,0.4369747899159664,1.547,0.939
182,C14,0.0,0.0,0.0,252.0,0.4369747899159664,1.547,0.939
183,D14,0.0,0.0,196.0,243.75,0.37635384191515875,6.014,3.393
184,E14,0.0,0.0,184.0,252.33333333333331,0.3987502114939936,4.29,2.461
185,G14,0.0,0.0,39.0,1024.22,0.4656322626663414,9.766,4.809
186,H14,0.0,0.0,52.0,390.0,0.3358771203871163,6.773,3.442
187,J14,0.0,0.0,32.0,359.5,0.3201686098064179,26.178,13.606
188,K14,0.0,44.0,147.0,304.5,0.28877695761481265,77.059,39.338
189,L14,9.0,100.0,712.0,302.7741935483871,0.27955875191681223,231.861,120.121
190,M14,5.0,329.0,866.0,254.31935483870967,0.25716469573707895,187.669,94.923
191,N14,0.0,4.0,12.0,207.83333333333331,0.24239865139175912,4.478,2.011
192,O14,0.0,0.0,41.0,204.86666666666667,0.2609669894295219,5.943,2.91
193,P14,0.0,0.0,70.0,201.23333333333332,0.23167781598616033,5.594,2.576
194,Q14,0.0,0.0,4.0,260.15,0.24751532467484336,9.332,4.594
195,R14,0.0,0.0,31.0,231.82,0.2490580417504607,9.01,4.312
196,S14,0.0,0.0,156.0,235.32,0.23344281591625543,45.447,19.958
197,T14,1.0,247.0,674.0,216.65714285714287,0.22656457718964873,57.609,26.185
198,U14,0.0,0.0,56.0,193.18571428571428,0.18834028621721804,20.361,9.189
199,V14,0.0,0.0,0.0,155.0,0.14990942028985507,2.208,0.982
200,B15,0.0,0.0,0.0,252.0,0.4369747899159664,1.547,0.939
201,C15,0.0,0.0,15.0,252.0,0.4369747899159664,1.547,0.939
202,D15,0.0,0.0,7.0,252.0,0.4369747899159664,1.547,0.939
203,E15,0.0,0.0,1.0,450.66666666666663,0.42333864510598257,27.203,14.884
204,F15,1.0,32.0,643.0,658.8384615384616,0.3972545111706684,103.773,55.949
205,G15,0.0,35.0,181.0,847.8615384615384,0.4855399130261728,37.514,20.295
206,H15,0.0,253.0,1034.0,387.83846153846156,0.4159848881373969,162.226,90.816
207,I15,0.0,0.0,0.0,245.0,0.23285440055843173,17.191,8.028
208,J15,0.0,0.0,249.0,448.33333333333337,0.390047487723384,31.683,16.198
209,K15,2.0,10.0,351.0,383.19545454545454,0.35951205235860717,159.441,82.438
210,L15,6.0,347.0,883.0,272.55,0.256408798746659,306.276,148.37
211,M15,0.0,150.0,1506.0,224.37777777777777,0.2214507416801007,172.516,83.652
212,N15,0.0,0.0,0.0,185.0,0.3030480656506448,1.706,0.868
213,O15,0.0,0.0,1.0,204.86666666666667,0.2609669894295219,5.943,2.91
214,P15,0.0,0.0,243.0,392.33333333333337,0.3164767219044668,10.062,5.142
215,Q15,0.0,60.0,1231.0,381.75,0.31561914196634605,13.036,6.707
216,R15,0.0,0.0,11.0,318.2,0.26684623026643434,12.824,6.632
217,S15,2.0,251.0,1056.0,280.25652173913045,0.26963315718720055,150.843,73.846
218,T15,7.0,414.0,1684.0,241.55,0.2411860104546112,141.005,67.184
219,U15,0.0,0.0,47.0,178.1,0.16120231397536572,15.533,7.074
220,V15,0.0,0.0,41.0,155.0,0.14990942028985507,2.208,0.982
221,B16,0.0,0.0,0.0,252.0,0.4369747899159664,1.547,0.939
222,C16,0.0,0.0,7.0,252.0,0.4369747899159664,1.547,0.939
223,D16,0.0,0.0,2.0,252.0,0.4369747899159664,1.547,0.939
224,E16,0.0,69.0,114.0,390.55384615384617,0.34357369306435187,92.711,48.195
225,F16,0.0,63.0,410.0,413.4172413793104,0.3036994594947499,134.212,68.325
226,G16,3.0,128.0,433.0,1033.8,0.5648919333808758,47.704,29.27
227,H16,7.0,165.0,943.0,510.1617647058824,0.49403767035784985,79.845,46.931
228,I16,3.0,0.0,97.0,581.075,0.4526152461098085,62.479,34.094
229,J16,5.0,585.0,1646.0,230.75483870967741,0.24961826750036661,296.493,151.382
230,K16,8.0,513.0,1073.0,300.795,0.2970318750772834,177.827,92.12
231,L16,0.0,75.0,20.0,530.0333333333333,0.34907716590397525,30.907,15.664
232,M16,0.0,0.0,11.0,400.3,0.26957130435803,23.112,11.354
233,N16,0.0,0.0,7.0,556.25,0.35616538303629286,3.602,1.981
234,O16,0.0,0.0,28.0,452.375,0.32590371548173924,10.172,5.292
235,P16,0.0,1.0,339.0,435.3285714285714,0.36386279196870763,19.894,10.092
236,Q16,1.0,262.0,1918.0,385.87,0.3203760866954254,75.127,39.893
237,R16,0.0,0.0,969.0,422.15,0.2963041954662906,21.28,11.506
238,S16,0.0,94.0,821.0,246.8,0.253072037251783,29.162,14.834
